transcript,confidence
you have your house for us,0.8061931
 so let me give you kind of a little bit of background I know you're all thrilled to be here you come on oh okay well let me give you a bit of background so we we really truly appreciate your time because after interviewing a lot of you over the past several weeks we know how busy you all are but I'm eating chips off and that's an Brinkman and we're with a company called customers first now,0.92912644
 I actually started working with Otis that worked with oldest now for a couple years so I helped build I don't know if you've ever seen it we did a journey map of of the customer from the customer perspective for the service experience and then I actually went out to several of cities and talk to those folks internally to build a map and then I also did the customer research some customers and customers told his kind of what their frustrations were and where we are you know what they liked about it was phenomenal there's a lot of really good positive feedback in that work was done probably about year-and-a-half 2 years ago so part of this effort was the organization really wanted to understand from your perspective what are your pain points what gets in the way you know what are the opportunities really you know the goal is to really understand what I start a call a day in your life it means her to be very candid about what's what it's like to do your job,0.87000686
 and we call that sort of the employer me and so what we're doing is work we've done one-on-one interviews with both maintenance technicians and maintenance supervisors I think there's about maybe 15 or 16 another pic from random across all the regions then we're doing this kind of a focus group so your focus group and one with the maintenance supervisors in Kansas City Pittsburgh in Minneapolis and then and because I live in Minneapolis I'm going to Shadow a technician for a half a day and a supervisor so all the information that we gather is confidential so where are the only one that has the detail we're going to summarize that report and give that back to or so then I also mention forgot to mention there's also an online survey so for those folks that don't get to participate in one of these sessions we still want to get their perspective so they will be at that online service probably going to go out you'll probably get an invite to that as well,0.9500837
 so that makes sense kind of you know and as I said we are recording it for our purposes so we can take notes and then once we're done with that we will delete those recordings and as I said nothing associated with your name so maybe before we get started you could just maybe tell me your name and how long you've been with older so I can get a sense for the years of service here,0.9475433
 I've been with all this for 23 years,0.802295
 two months real good,0.6733769
 I heard your name before,0.82043487
 have you ever did you participate in any of the original work,0.8994294
 cuz that's okay I just remember your last name,0.7688242
 Ojon been with him for 13 years Bill Thomas 32 lot of service across the organization so kind of the format so this is there no right or wrong answers just general discussion so I'll ask a question and then anybody can answer it I just like to hear kind of from you know everybody's opinion so maybe start out a little bit by telling me if you think about what it takes to be successful in your role obviously beyond the technical skills what would you say the things that you need to be successful in the role that you have,0.94183624
 work safely,0.982679
 customer,0.9331213
 so did talk to me a little bit about that in terms of year when the customer contacts when you are on site most of the time are the is the customer coming to you typically if they're in the building if they've issued what happens,0.90389407
 pretty much is the customer,0.92623216
